parliamentarian_1,parliamentarian_2,proportion_agreement,region_1,region_2,partido_1,partido_2,Diputado_1,Diputado_2,sector_1,sector_2,Unnamed: 0,person_1,person_2,label,sentiment,date,original_index
"Hertz, Carmen","Kaiser, Johannes",1.0092226613965745,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PCCh,PLR,Carmen Hertz Cadiz,Johannes Kaiser Barents-Von Hohenhagen,izquierda,derecha,,,,,no_link_found,,
"Cornejo, Eduardo","Melo, Daniel",1.0092226613965745,Región del Libertador General Bernardo O'Higgins (9),Región Metropolitana de Santiago (47),UDI,PS,Eduardo Cornejo Lagos,Daniel Melo Contreras,centro_derecha,centro_izquierda,,,,,no_link_found,,
"Placencia, Alejandra","Weisse, Flor",1.0092226613965745,Región Metropolitana de Santiago (47),Región del Biobío (13),PCCh,UDI,Alejandra Placencia Cabello,Flor Weisse Novoa,izquierda,centro_derecha,,,,,no_link_found,,
"Donoso, Felipe","Veloso, Consuelo",1.010540184453228,Región del Maule (11),Región del Maule (11),UDI,RD,Felipe Donoso Castro,Consuelo Veloso Avila,centro_derecha,izquierda,,,,,no_link_found,,
"Alessandri, Jorge","Giordano, Andres",1.010540184453228,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),UDI,Ind-RD,Jorge Alessandri Vergara,Andres Giordano Salazar,centro_derecha,izquierda,,,,,no_link_found,,
"Naveillan, Gloria","Palma, Hernan",1.010540184453228,Región de la Araucanía (11),Región Metropolitana de Santiago (47),Ind-PLR,PH,Gloria Naveillan Arriagada,Hernan Palma Perez,derecha,izquierda,,,,,no_link_found,,
"Cuello, Luis Alberto","Trisotti, Renzo",1.010540184453228,Región de Valparaíso (16),Región de Tarapacá (3),PCCh,UDI,Luis Cuello Pena y Lillo,Renzo Trisotti Martinez,izquierda,centro_derecha,,,,,no_link_found,,
"Carter, Alvaro","Pizarro, Lorena",1.010540184453228,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),Ind-UDI,PCCh,Alvaro Carter Fernandez,Lorena Pizarro Sierra,centro_derecha,izquierda,,,,,no_link_found,,
"Coloma, Juan Antonio","Placencia, Alejandra",1.010540184453228,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),UDI,PCCh,Juan Antonio Coloma Alamos,Alejandra Placencia Cabello,centro_derecha,izquierda,,,,,no_link_found,,
"Martinez, Cristobal","Veloso, Consuelo",1.010540184453228,Región de Ńuble (5),Región del Maule (11),UDI,RD,Cristobal Martinez Ramirez,Consuelo Veloso Avila,centro_derecha,izquierda,,,,,no_link_found,,
"Alessandri, Jorge","Saez, Jaime",1.010540184453228,Región Metropolitana de Santiago (47),Región de Los Lagos (9),UDI,RD,Jorge Alessandri Vergara,Jaime Saez Quiroz,centro_derecha,izquierda,,,,,no_link_found,,
"Meza, Jose Carlos","Morales, Javiera",1.010540184453228,Región Metropolitana de Santiago (47),Región de Magallanes y la Antártica Chilena (3),PLR,CS,Jose Carlos Meza Pereira,Javiera Morales Alvarado,derecha,izquierda,,,,,no_link_found,,
"Alessandri, Jorge","Tello, Carolina",1.010540184453228,Región Metropolitana de Santiago (47),Región de Coquimbo (7),UDI,PCCh,Jorge Alessandri Vergara,Carolina Tello Rojas,centro_derecha,izquierda,,,,,no_link_found,,
"Cid, Sofia","Ibanez, Diego",1.010540184453228,Región de Atacama (5),Región de Valparaíso (16),RN,CS,Sofia Cid Versalovic,Diego Ibanez Cotroneo,centro_derecha,izquierda,,,,,no_link_found,,
"Giordano, Andres","Martinez, Cristobal",1.010540184453228,Región Metropolitana de Santiago (47),Región de Ńuble (5),Ind-RD,UDI,Andres Giordano Salazar,Cristobal Martinez Ramirez,izquierda,centro_derecha,,,,,no_link_found,,
"Beltran, Juan Carlos","Mix, Claudia",1.010540184453228,Región de la Araucanía (11),Región Metropolitana de Santiago (47),RN,Comunes,Juan Carlos Beltran Silva,Claudia Mix Jimenez,centro_derecha,izquierda,,,,,no_link_found,,
"Barchiesi, Chiara","Delgado, Viviana",1.010540184453228,Región de Valparaíso (16),Región Metropolitana de Santiago (47),PLR,Ind-PL,Chiara Barchiesi Chavez,Viviana Delgado Riquelme,derecha,centro_izquierda,,,,,no_link_found,,
"Bugueno, Felix","Jurgensen, Harry",1.010540184453228,Región del Libertador General Bernardo O'Higgins (9),Región de Los Lagos (9),Comunes,Ind-PLR,Felix Bugueno Sotelo,Harry Jurgensen Rundshagen,izquierda,derecha,,,,,no_link_found,,
"Romero, Leonidas","Tapia, Cristian",1.0118577075098814,Región del Biobío (13),Región de Atacama (5),Ind-RN,Ind-PPD,Leonidas Romero Saez,Cristian Tapia Ramos,centro_derecha,centro_izquierda,,,,,no_link_found,,
"Brito, Jorge","Ojeda, Mauricio",1.0118577075098814,Región de Valparaíso (16),Región de la Araucanía (11),RD,Ind-PLR,Jorge Brito Hasbun,Mauricio Ojeda Rebolledo,izquierda,derecha,,,,,no_link_found,,
"Cornejo, Eduardo","Perez, Catalina",1.0118577075098814,Región del Libertador General Bernardo O'Higgins (9),Región de Antofagasta (5),UDI,RD,Eduardo Cornejo Lagos,Catalina Perez Salinas,centro_derecha,izquierda,,,,,no_link_found,,
"Cid, Sofia","Placencia, Alejandra",1.0118577075098814,Región de Atacama (5),Región Metropolitana de Santiago (47),RN,PCCh,Sofia Cid Versalovic,Alejandra Placencia Cabello,centro_derecha,izquierda,,,,,no_link_found,,
"Becker, Miguel Angel","Cariola, Karol",1.0118577075098814,Región de la Araucanía (11),Región Metropolitana de Santiago (47),RN,PCCh,Miguel Becker Alvear,Karol Cariola Oliva,centro_derecha,izquierda,,,,,no_link_found,,
"Ossandon, Ximena","Pizarro, Lorena",1.0118577075098814,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),RN,PCCh,Ximena Ossandon Irarrazabal,Lorena Pizarro Sierra,centro_derecha,izquierda,,,,,no_link_found,,
"Barrera, Boris","Teao, Hotuiti",1.0118577075098814,Región Metropolitana de Santiago (47),Región de Valparaíso (16),PCCh,Ind-Evópoli,Boris Barrera Moreno,Hotuiti Teao Drago,izquierda,centro_derecha,,,,,no_link_found,,
"Duran, Jorge","Ramirez, Matias",1.0118577075098814,Región Metropolitana de Santiago (47),Región de Tarapacá (3),RN,PCCh,Jorge Duran Espinoza,Matias Ramirez Pascal,centro_derecha,izquierda,,,,,no_link_found,,
"Sulantay, Marco Antonio","Winter, Gonzalo",1.0118577075098814,Región de Coquimbo (7),Región Metropolitana de Santiago (47),UDI,CS,Marco Sulantay Olivares,Gonzalo Winter Etcheberry,centro_derecha,izquierda,,,,,no_link_found,,
"Acevedo, Maria Candelaria","Bravo, Marta",1.0118577075098814,Región del Biobío (13),Región de Ńuble (5),PCCh,UDI,Maria Candelaria Acevedo Saez,Marta Bravo Salinas,izquierda,centro_derecha,,,,,no_link_found,,
"Pizarro, Lorena","Sauerbaum, Frank",1.013175230566535,Región Metropolitana de Santiago (47),Región de Ńuble (5),PCCh,RN,Lorena Pizarro Sierra,Frank Sauerbaum Munoz,izquierda,centro_derecha,,,,,no_link_found,,
"Becker, Miguel Angel","Castillo, Nathalie",1.013175230566535,Región de la Araucanía (11),Región de Coquimbo (7),RN,PCCh,Miguel Becker Alvear,Nathalie Castillo Rojas,centro_derecha,izquierda,,,,,no_link_found,,
"Cornejo, Eduardo","Palma, Hernan",1.013175230566535,Región del Libertador General Bernardo O'Higgins (9),Región Metropolitana de Santiago (47),UDI,PH,Eduardo Cornejo Lagos,Hernan Palma Perez,centro_derecha,izquierda,,,,,no_link_found,,
"Benavente, Gustavo","Yeomans, Gael",1.013175230566535,Región del Maule (11),Región Metropolitana de Santiago (47),UDI,CS,Gustavo Benavente Vergara,Gael Yeomans Araya,centro_derecha,izquierda,,,,,no_link_found,,
"Castillo, Nathalie","Labbe, Cristian",1.013175230566535,Región de Coquimbo (7),Región Metropolitana de Santiago (47),PCCh,UDI,Nathalie Castillo Rojas,Cristian Labbe Martinez,izquierda,centro_derecha,,,,,no_link_found,,
"Benavente, Gustavo","Palma, Hernan",1.013175230566535,Región del Maule (11),Región Metropolitana de Santiago (47),UDI,PH,Gustavo Benavente Vergara,Hernan Palma Perez,centro_derecha,izquierda,,,,,no_link_found,,
"Schalper, Diego","Winter, Gonzalo",1.013175230566535,Región del Libertador General Bernardo O'Higgins (9),Región Metropolitana de Santiago (47),RN,CS,Diego Schalper Sepulveda,Gonzalo Winter Etcheberry,centro_derecha,izquierda,,,,,no_link_found,,
"Ibanez, Diego","Schalper, Diego",1.013175230566535,Región de Valparaíso (16),Región del Libertador General Bernardo O'Higgins (9),CS,RN,Diego Ibanez Cotroneo,Diego Schalper Sepulveda,izquierda,centro_derecha,,,,,no_link_found,,
"Celis, Andres","Rosas, Patricio",1.013175230566535,Región de Valparaíso (16),Región de Los Ríos (5),RN,Comunes,Andres Celis Montt,Patricio Rosas Barrientos,centro_derecha,izquierda,,,,,no_link_found,,
"Ibanez, Diego","Trisotti, Renzo",1.013175230566535,Región de Valparaíso (16),Región de Tarapacá (3),CS,UDI,Diego Ibanez Cotroneo,Renzo Trisotti Martinez,izquierda,centro_derecha,,,,,no_link_found,,
"Castillo, Nathalie","Urruticoechea, Cristobal",1.013175230566535,Región de Coquimbo (7),Región del Biobío (13),PCCh,PLR,Nathalie Castillo Rojas,Cristobal Urruticoechea Rios,izquierda,derecha,,,,,no_link_found,,
"Tello, Carolina","Weisse, Flor",1.013175230566535,Región de Coquimbo (7),Región del Biobío (13),PCCh,UDI,Carolina Tello Rojas,Flor Weisse Novoa,izquierda,centro_derecha,,,,,no_link_found,,
"Romero, Leonidas","Yeomans, Gael",1.013175230566535,Región del Biobío (13),Región Metropolitana de Santiago (47),Ind-RN,CS,Leonidas Romero Saez,Gael Yeomans Araya,centro_derecha,izquierda,,,,,no_link_found,,
"Donoso, Felipe","Tello, Carolina",1.013175230566535,Región del Maule (11),Región de Coquimbo (7),UDI,PCCh,Felipe Donoso Castro,Carolina Tello Rojas,centro_derecha,izquierda,,,,,no_link_found,,
"Morales, Javiera","Moreno, Benjamin",1.013175230566535,Región de Magallanes y la Antártica Chilena (3),Región del Maule (11),CS,PLR,Javiera Morales Alvarado,Benjamin Moreno Bascur,izquierda,derecha,,,,,no_link_found,,
"Cariola, Karol","Cid, Sofia",1.0144927536231885,Región Metropolitana de Santiago (47),Región de Atacama (5),PCCh,RN,Karol Cariola Oliva,Sofia Cid Versalovic,izquierda,centro_derecha,,,,,no_link_found,,
"Bobadilla, Sergio","Riquelme, Marcela",1.0144927536231885,Región del Biobío (13),Región del Libertador General Bernardo O'Higgins (9),UDI,Ind-CS,Sergio Bobadilla Munoz,Marcela Riquelme Aliaga,centro_derecha,izquierda,,,,,no_link_found,,
"Romero, Leonidas","Saez, Jaime",1.0144927536231885,Región del Biobío (13),Región de Los Lagos (9),Ind-RN,RD,Leonidas Romero Saez,Jaime Saez Quiroz,centro_derecha,izquierda,,,,,no_link_found,,
"Fries, Lorena","Teao, Hotuiti",1.0144927536231885,Región Metropolitana de Santiago (47),Región de Valparaíso (16),CS,Ind-Evópoli,Lorena Fries Monleon,Hotuiti Teao Drago,izquierda,centro_derecha,,,,,no_link_found,,
"Gonzalez, Felix","Ramirez, Guillermo",1.0144927536231885,Región del Biobío (13),Región Metropolitana de Santiago (47),PEV,UDI,Felix Gonzalez Gatica,Guillermo Ramirez Diez,izquierda,centro_derecha,,,,,no_link_found,,
"Kaiser, Johannes","Schneider, Emilia",1.0144927536231885,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PLR,CS,Johannes Kaiser Barents-Von Hohenhagen,Emilia Schneider Videla,derecha,izquierda,15.0,johannes kaiser,emilia schneider,negative,negative,Unknown,4.0
"Kaiser, Johannes","Schneider, Emilia",1.0144927536231885,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PLR,CS,Johannes Kaiser Barents-Von Hohenhagen,Emilia Schneider Videla,derecha,izquierda,183.0,johannes kaiser,emilia schneider,negative,negative,Unknown,53.0
"Kaiser, Johannes","Schneider, Emilia",1.0144927536231885,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PLR,CS,Johannes Kaiser Barents-Von Hohenhagen,Emilia Schneider Videla,derecha,izquierda,646.0,johannes kaiser,emilia schneider,negative,negative,Unknown,193.0
"Kaiser, Johannes","Schneider, Emilia",1.0144927536231885,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PLR,CS,Johannes Kaiser Barents-Von Hohenhagen,Emilia Schneider Videla,derecha,izquierda,2714.0,johannes kaiser,emilia schneider,negative,negative,Unknown,696.0
"Kaiser, Johannes","Schneider, Emilia",1.0144927536231885,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PLR,CS,Johannes Kaiser Barents-Von Hohenhagen,Emilia Schneider Videla,derecha,izquierda,2761.0,johannes kaiser,emilia schneider,neutral,neutral,Unknown,713.0
"Kaiser, Johannes","Schneider, Emilia",1.0144927536231885,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PLR,CS,Johannes Kaiser Barents-Von Hohenhagen,Emilia Schneider Videla,derecha,izquierda,3194.0,johannes kaiser,emilia schneider,negative,negative,Unknown,820.0
"Labra, Paula","Veloso, Consuelo",1.0144927536231885,Región del Maule (11),Región del Maule (11),Ind-RN,RD,Paula Labra Besserer,Consuelo Veloso Avila,centro_derecha,izquierda,,,,,no_link_found,,
"Hertz, Carmen","Rey, Hugo",1.0144927536231885,Región Metropolitana de Santiago (47),Región del Maule (11),PCCh,RN,Carmen Hertz Cadiz,Hugo Rey Martinez,izquierda,centro_derecha,,,,,no_link_found,,
"Matheson, Christian","Riquelme, Marcela",1.0144927536231885,Región de Magallanes y la Antártica Chilena (3),Región del Libertador General Bernardo O'Higgins (9),Ind-Evópoli,Ind-CS,Christian Matheson Villan,Marcela Riquelme Aliaga,centro_derecha,izquierda,,,,,no_link_found,,
"Flores, Camila","Serrano, Daniela",1.0144927536231885,Región de Valparaíso (16),Región Metropolitana de Santiago (47),RN,PCCh,Camila Flores Oporto,Daniela Serrano Salazar,centro_derecha,izquierda,,,,,no_link_found,,
"Jurgensen, Harry","Yeomans, Gael",1.0144927536231885,Región de Los Lagos (9),Región Metropolitana de Santiago (47),Ind-PLR,CS,Harry Jurgensen Rundshagen,Gael Yeomans Araya,derecha,izquierda,,,,,no_link_found,,
"Cornejo, Eduardo","Saez, Jaime",1.0144927536231885,Región del Libertador General Bernardo O'Higgins (9),Región de Los Lagos (9),UDI,RD,Eduardo Cornejo Lagos,Jaime Saez Quiroz,centro_derecha,izquierda,,,,,no_link_found,,
"Lilayu, Daniel","Saez, Jaime",1.0144927536231885,Región de Los Lagos (9),Región de Los Lagos (9),UDI,RD,Daniel Lilayu Vivanco,Jaime Saez Quiroz,centro_derecha,izquierda,,,,,no_link_found,,
"Matheson, Christian","Nanco, Ericka",1.0144927536231885,Región de Magallanes y la Antártica Chilena (3),Región de la Araucanía (11),Ind-Evópoli,RD,Christian Matheson Villan,Ericka Nanco Vasquez,centro_derecha,izquierda,,,,,no_link_found,,
"Sanchez, Luis","Veloso, Consuelo",1.0144927536231885,Región de Valparaíso (16),Región del Maule (11),PLR,RD,Luis Sanchez Ossa,Consuelo Veloso Avila,derecha,izquierda,,,,,no_link_found,,
"Cornejo, Eduardo","Riquelme, Marcela",1.0144927536231885,Región del Libertador General Bernardo O'Higgins (9),Región del Libertador General Bernardo O'Higgins (9),UDI,Ind-CS,Eduardo Cornejo Lagos,Marcela Riquelme Aliaga,centro_derecha,izquierda,,,,,no_link_found,,
"Berger, Bernardo","Santibanez, Marisela",1.0144927536231885,Región de Los Ríos (5),Región Metropolitana de Santiago (47),Ind-RN,PCCh,Bernardo Berger Fett,Marisela Santibanez Novoa,centro_derecha,izquierda,,,,,no_link_found,,
"Giordano, Andres","Naveillan, Gloria",1.0144927536231885,Región Metropolitana de Santiago (47),Región de la Araucanía (11),Ind-RD,Ind-PLR,Andres Giordano Salazar,Gloria Naveillan Arriagada,izquierda,derecha,,,,,no_link_found,,
"Ramirez, Matias","Trisotti, Renzo",1.0158102766798418,Región de Tarapacá (3),Región de Tarapacá (3),PCCh,UDI,Matias Ramirez Pascal,Renzo Trisotti Martinez,izquierda,centro_derecha,,,,,no_link_found,,
"Cid, Sofia","Tello, Carolina",1.0158102766798418,Región de Atacama (5),Región de Coquimbo (7),RN,PCCh,Sofia Cid Versalovic,Carolina Tello Rojas,centro_derecha,izquierda,,,,,no_link_found,,
"Molina, Helia","Weisse, Flor",1.0158102766798418,Región Metropolitana de Santiago (47),Región del Biobío (13),PPD,UDI,Helia Molina Milman,Flor Weisse Novoa,centro_izquierda,centro_derecha,,,,,no_link_found,,
"Beltran, Juan Carlos","Castillo, Nathalie",1.0158102766798418,Región de la Araucanía (11),Región de Coquimbo (7),RN,PCCh,Juan Carlos Beltran Silva,Nathalie Castillo Rojas,centro_derecha,izquierda,,,,,no_link_found,,
"Araya, Cristian","Sagardia, Clara",1.0158102766798418,Región Metropolitana de Santiago (47),Región del Biobío (13),PLR,Ind-CS,Cristian Araya Lerdo de Tejada,Clara Sagardia Cabezas,derecha,izquierda,,,,,no_link_found,,
"Acevedo, Maria Candelaria","Cid, Sofia",1.0158102766798418,Región del Biobío (13),Región de Atacama (5),PCCh,RN,Maria Candelaria Acevedo Saez,Sofia Cid Versalovic,izquierda,centro_derecha,,,,,no_link_found,,
"Moreno, Benjamin","Palma, Hernan",1.0158102766798418,Región del Maule (11),Región Metropolitana de Santiago (47),PLR,PH,Benjamin Moreno Bascur,Hernan Palma Perez,derecha,izquierda,,,,,no_link_found,,
"Giordano, Andres","Trisotti, Renzo",1.0158102766798418,Región Metropolitana de Santiago (47),Región de Tarapacá (3),Ind-RD,UDI,Andres Giordano Salazar,Renzo Trisotti Martinez,izquierda,centro_derecha,,,,,no_link_found,,
"Cariola, Karol","Moreno, Benjamin",1.0158102766798418,Región Metropolitana de Santiago (47),Región del Maule (11),PCCh,PLR,Karol Cariola Oliva,Benjamin Moreno Bascur,izquierda,derecha,,,,,no_link_found,,
"Araya, Cristian","Morales, Javiera",1.0158102766798418,Región Metropolitana de Santiago (47),Región de Magallanes y la Antártica Chilena (3),PLR,CS,Cristian Araya Lerdo de Tejada,Javiera Morales Alvarado,derecha,izquierda,,,,,no_link_found,,
"Martinez, Cristobal","Tello, Carolina",1.0158102766798418,Región de Ńuble (5),Región de Coquimbo (7),UDI,PCCh,Cristobal Martinez Ramirez,Carolina Tello Rojas,centro_derecha,izquierda,,,,,no_link_found,,
"Longton, Andres","Ramirez, Matias",1.0158102766798418,Región de Valparaíso (16),Región de Tarapacá (3),RN,PCCh,Andres Longton Herrera,Matias Ramirez Pascal,centro_derecha,izquierda,,,,,no_link_found,,
"Cordero, Maria Luisa","Ramirez, Matias",1.0158102766798418,Región Metropolitana de Santiago (47),Región de Tarapacá (3),Ind-RN,PCCh,Maria Luisa Cordero Velasquez,Matias Ramirez Pascal,centro_derecha,izquierda,,,,,no_link_found,,
"Celis, Andres","Tello, Carolina",1.0158102766798418,Región de Valparaíso (16),Región de Coquimbo (7),RN,PCCh,Andres Celis Montt,Carolina Tello Rojas,centro_derecha,izquierda,,,,,no_link_found,,
"Cordero, Maria Luisa","Pizarro, Lorena",1.0158102766798418,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),Ind-RN,PCCh,Maria Luisa Cordero Velasquez,Lorena Pizarro Sierra,centro_derecha,izquierda,,,,,no_link_found,,
"Cordero, Maria Luisa","Delgado, Viviana",1.0158102766798418,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),Ind-RN,Ind-PL,Maria Luisa Cordero Velasquez,Viviana Delgado Riquelme,centro_derecha,centro_izquierda,,,,,no_link_found,,
"Trisotti, Renzo","Veloso, Consuelo",1.0158102766798418,Región de Tarapacá (3),Región del Maule (11),UDI,RD,Renzo Trisotti Martinez,Consuelo Veloso Avila,centro_derecha,izquierda,,,,,no_link_found,,
"Castillo, Nathalie","Castro, Jose Miguel",1.0158102766798418,Región de Coquimbo (7),Región de Antofagasta (5),PCCh,RN,Nathalie Castillo Rojas,Jose Miguel Castro Bascunan,izquierda,centro_derecha,,,,,no_link_found,,
"Cariola, Karol","Ojeda, Mauricio",1.0158102766798418,Región Metropolitana de Santiago (47),Región de la Araucanía (11),PCCh,Ind-PLR,Karol Cariola Oliva,Mauricio Ojeda Rebolledo,izquierda,derecha,,,,,no_link_found,,
"Castro, Jose Miguel","Pizarro, Lorena",1.0158102766798418,Región de Antofagasta (5),Región Metropolitana de Santiago (47),RN,PCCh,Jose Miguel Castro Bascunan,Lorena Pizarro Sierra,centro_derecha,izquierda,,,,,no_link_found,,
"Bello, Maria Francisca","Cornejo, Eduardo",1.0158102766798418,Región de Valparaíso (16),Región del Libertador General Bernardo O'Higgins (9),CS,UDI,Maria Francisca Bello Campos,Eduardo Cornejo Lagos,izquierda,centro_derecha,,,,,no_link_found,,
"Moreno, Benjamin","Sagardia, Clara",1.0158102766798418,Región del Maule (11),Región del Biobío (13),PLR,Ind-CS,Benjamin Moreno Bascur,Clara Sagardia Cabezas,derecha,izquierda,,,,,no_link_found,,
"Cicardini, Daniella","Meza, Jose Carlos",1.0158102766798418,Región de Atacama (5),Región Metropolitana de Santiago (47),PS,PLR,Daniella Cicardini Milla,Jose Carlos Meza Pereira,centro_izquierda,derecha,,,,,no_link_found,,
"Labra, Paula","Mix, Claudia",1.0171277997364954,Región del Maule (11),Región Metropolitana de Santiago (47),Ind-RN,Comunes,Paula Labra Besserer,Claudia Mix Jimenez,centro_derecha,izquierda,,,,,no_link_found,,
"Acevedo, Maria Candelaria","Moreira, Cristhian",1.0171277997364954,Región del Biobío (13),Región Metropolitana de Santiago (47),PCCh,UDI,Maria Candelaria Acevedo Saez,Cristhian Moreira Barros,izquierda,centro_derecha,629.0,candelaria acevedo,cristhian moreira,positive,positive,Unknown,188.0
"Acevedo, Maria Candelaria","Moreira, Cristhian",1.0171277997364954,Región del Biobío (13),Región Metropolitana de Santiago (47),PCCh,UDI,Maria Candelaria Acevedo Saez,Cristhian Moreira Barros,izquierda,centro_derecha,1790.0,candelaria acevedo,cristhian moreira,neutral,neutral,Unknown,479.0
"Ibanez, Diego","Moreno, Benjamin",1.0171277997364954,Región de Valparaíso (16),Región del Maule (11),CS,PLR,Diego Ibanez Cotroneo,Benjamin Moreno Bascur,izquierda,derecha,,,,,no_link_found,,
"Borquez, Fernando","Ramirez, Matias",1.0171277997364954,Región de Los Lagos (9),Región de Tarapacá (3),Ind-UDI,PCCh,Fernando Borquez Montecinos,Matias Ramirez Pascal,centro_derecha,izquierda,,,,,no_link_found,,
"Arce, Monica","Sanchez, Luis",1.0171277997364954,Región Metropolitana de Santiago (47),Región de Valparaíso (16),PH,PLR,Monica Arce Castro,Luis Sanchez Ossa,izquierda,derecha,,,,,no_link_found,,
"Serrano, Daniela","Trisotti, Renzo",1.0171277997364954,Región Metropolitana de Santiago (47),Región de Tarapacá (3),PCCh,UDI,Daniela Serrano Salazar,Renzo Trisotti Martinez,izquierda,centro_derecha,,,,,no_link_found,,
"Moreno, Benjamin","Saez, Jaime",1.0171277997364954,Región del Maule (11),Región de Los Lagos (9),PLR,RD,Benjamin Moreno Bascur,Jaime Saez Quiroz,derecha,izquierda,,,,,no_link_found,,
"Romero, Agustin","Rosas, Patricio",1.0171277997364954,Región Metropolitana de Santiago (47),Región de Los Ríos (5),PLR,Comunes,Agustin Romero Leiva,Patricio Rosas Barrientos,derecha,izquierda,,,,,no_link_found,,
"Ibanez, Diego","Matheson, Christian",1.0171277997364954,Región de Valparaíso (16),Región de Magallanes y la Antártica Chilena (3),CS,Ind-Evópoli,Diego Ibanez Cotroneo,Christian Matheson Villan,izquierda,centro_derecha,,,,,no_link_found,,
"Coloma, Juan Antonio","Gazmuri, Ana Maria",1.0171277997364954,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),UDI,AH,Juan Antonio Coloma Alamos,Ana Maria Gazmuri Vieira,centro_derecha,izquierda,,,,,no_link_found,,
"Bobadilla, Sergio","Nanco, Ericka",1.0171277997364954,Región del Biobío (13),Región de la Araucanía (11),UDI,RD,Sergio Bobadilla Munoz,Ericka Nanco Vasquez,centro_derecha,izquierda,,,,,no_link_found,,
"Cid, Sofia","Riquelme, Marcela",1.018445322793149,Región de Atacama (5),Región del Libertador General Bernardo O'Higgins (9),RN,Ind-CS,Sofia Cid Versalovic,Marcela Riquelme Aliaga,centro_derecha,izquierda,,,,,no_link_found,,
"Barchiesi, Chiara","Melo, Daniel",1.018445322793149,Región de Valparaíso (16),Región Metropolitana de Santiago (47),PLR,PS,Chiara Barchiesi Chavez,Daniel Melo Contreras,derecha,centro_izquierda,,,,,no_link_found,,
"Gazmuri, Ana Maria","Trisotti, Renzo",1.018445322793149,Región Metropolitana de Santiago (47),Región de Tarapacá (3),AH,UDI,Ana Maria Gazmuri Vieira,Renzo Trisotti Martinez,izquierda,centro_derecha,,,,,no_link_found,,
"Morales, Javiera","Ojeda, Mauricio",1.018445322793149,Región de Magallanes y la Antártica Chilena (3),Región de la Araucanía (11),CS,Ind-PLR,Javiera Morales Alvarado,Mauricio Ojeda Rebolledo,izquierda,derecha,,,,,no_link_found,,
"Alessandri, Jorge","Veloso, Consuelo",1.018445322793149,Región Metropolitana de Santiago (47),Región del Maule (11),UDI,RD,Jorge Alessandri Vergara,Consuelo Veloso Avila,centro_derecha,izquierda,,,,,no_link_found,,
"Mix, Claudia","Von Muhlenbrock, Gaston",1.018445322793149,Región Metropolitana de Santiago (47),Región de Los Ríos (5),Comunes,UDI,Claudia Mix Jimenez,Gaston von Muhlenbrock Zamora,izquierda,centro_derecha,,,,,no_link_found,,
"Pizarro, Lorena","Von Muhlenbrock, Gaston",1.018445322793149,Región Metropolitana de Santiago (47),Región de Los Ríos (5),PCCh,UDI,Lorena Pizarro Sierra,Gaston von Muhlenbrock Zamora,izquierda,centro_derecha,,,,,no_link_found,,
"Lilayu, Daniel","Morales, Javiera",1.018445322793149,Región de Los Lagos (9),Región de Magallanes y la Antártica Chilena (3),UDI,CS,Daniel Lilayu Vivanco,Javiera Morales Alvarado,centro_derecha,izquierda,,,,,no_link_found,,
"Cicardini, Daniella","Naveillan, Gloria",1.018445322793149,Región de Atacama (5),Región de la Araucanía (11),PS,Ind-PLR,Daniella Cicardini Milla,Gloria Naveillan Arriagada,centro_izquierda,derecha,,,,,no_link_found,,
"Concha, Sara","Morales, Javiera",1.018445322793149,Región de Ńuble (5),Región de Magallanes y la Antártica Chilena (3),PSC,CS,Sara Concha Smith,Javiera Morales Alvarado,derecha,izquierda,,,,,no_link_found,,
"Bello, Maria Francisca","Meza, Jose Carlos",1.018445322793149,Región de Valparaíso (16),Región Metropolitana de Santiago (47),CS,PLR,Maria Francisca Bello Campos,Jose Carlos Meza Pereira,izquierda,derecha,,,,,no_link_found,,
"Mellado, Miguel","Mix, Claudia",1.018445322793149,Región de la Araucanía (11),Región Metropolitana de Santiago (47),RN,Comunes,Miguel Mellado Suazo,Claudia Mix Jimenez,centro_derecha,izquierda,,,,,no_link_found,,
"Gonzalez, Marta","Romero, Agustin",1.018445322793149,Región del Libertador General Bernardo O'Higgins (9),Región Metropolitana de Santiago (47),Ind-PPD,PLR,Marta Gonzalez Olea,Agustin Romero Leiva,centro_izquierda,derecha,,,,,no_link_found,,
"Barrera, Boris","Carter, Alvaro",1.018445322793149,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PCCh,Ind-UDI,Boris Barrera Moreno,Alvaro Carter Fernandez,izquierda,centro_derecha,,,,,no_link_found,,
